AE,AFM,ARCH,BME,CFM,CHE,CIVE,CS,CSBBA,ECE,ENVE,MATH,MATH BBA,MATH CPA,MATH FARM,ME,MSCI,MTE,NE,SCI,SCIBUS,SE,SYDE
,,,,,,,98.5,,90.5,,,,,,,,,,,,90.6,
,,,,,,,98.6,,90.6,,,,,,,,,,,,90.93,
,,,,,,,98.6,,,,,,,,,,,,,,91,
,,,,,,,98.67,,,,,,,,,,,,,,91,
,,,,,,,98.7,,,,,,,,,,,,,,91.37,
,,,,,,,98.7,,,,,,,,,,,,,,91.6,
,,,,,,,98.83,,,,,,,,,,,,,,92.2,
,,,,,,,98.83,,,,,,,,,,,,,,92.2,
,,,,,,,98.9,,,,,,,,,,,,,,93.2,
,,,,,,,99,,,,,,,,,,,,,,95,
,,,,,,,99,,,,,,,,,,,,,,95.3,
,,,,,,,99,,,,,,,,,,,,,,99.4,
,,,,,,,99,,,,,,,,,,,,,,102,
,,,,,,,99,,,,,,,,,,,,,,,
,,,,,,,99,,,,,,,,,,,,,,,
,,,,,,,99,,,,,,,,,,,,,,,
,,,,,,,99,,,,,,,,,,,,,,,
,,,,,,,99,,,,,,,,,,,,,,,
,,,,,,,99,,,,,,,,,,,,,,,
,,,,,,,99,,,,,,,,,,,,,,,
,,,,,,,99,,,,,,,,,,,,,,,
,,,,,,,99.2,,,,,,,,,,,,,,,
,,,,,,,99.2,,,,,,,,,,,,,,,
,,,,,,,99.3,,,,,,,,,,,,,,,
,,,,,,,99.3,,,,,,,,,,,,,,,
,,,,,,,99.33,,,,,,,,,,,,,,,
,,,,,,,99.33,,,,,,,,,,,,,,,
,,,,,,,99.33,,,,,,,,,,,,,,,
,,,,,,,99.33,,,,,,,,,,,,,,,
,,,,,,,99.5,,,,,,,,,,,,,,,
,,,,,,,99.5,,,,,,,,,,,,,,,
,,,,,,,99.5,,,,,,,,,,,,,,,
,,,,,,,99.5,,,,,,,,,,,,,,,
,,,,,,,99.5,,,,,,,,,,,,,,,
,,,,,,,99.5,,,,,,,,,,,,,,,
,,,,,,,99.5,,,,,,,,,,,,,,,
,,,,,,,99.5,,,,,,,,,,,,,,,
,,,,,,,99.5,,,,,,,,,,,,,,,
,,,,,,,99.5,,,,,,,,,,,,,,,
,,,,,,,99.5,,,,,,,,,,,,,,,
,,,,,,,99.6,,,,,,,,,,,,,,,
,,,,,,,99.8,,,,,,,,,,,,,,,
,,,,,,,99.8,,,,,,,,,,,,,,,
,,,,,,,99.8,,,,,,,,,,,,,,,
,,,,,,,100,,,,,,,,,,,,,,,
,,,,,,,100,,,,,,,,,,,,,,,
,,,,,,,100,,,,,,,,,,,,,,,
,,,,,,,100,,,,,,,,,,,,,,,
,,,,,,,100,,,,,,,,,,,,,,,
,,,,,,,100,,,,,,,,,,,,,,,
,,,,,,,100,,,,,,,,,,,,,,,
,,,,,,,100,,,,,,,,,,,,,,,
,,,,,,,100,,,,,,,,,,,,,,,
,,,,,,,100.17,,,,,,,,,,,,,,,
,,,,,,,100.3,,,,,,,,,,,,,,,
,,,,,,,100.3,,,,,,,,,,,,,,,
,,,,,,,100.33,,,,,,,,,,,,,,,
,,,,,,,100.33,,,,,,,,,,,,,,,
,,,,,,,100.33,,,,,,,,,,,,,,,
,,,,,,,100.5,,,,,,,,,,,,,,,
,,,,,,,100.5,,,,,,,,,,,,,,,
,,,,,,,100.5,,,,,,,,,,,,,,,
,,,,,,,100.5,,,,,,,,,,,,,,,
